username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dramaria;2016-11-06 12:25;0;0;"@mikecarrier ultra pedestrian bias from a Trump supporter.";;@mikecarrier;;"795225550000373762";https://twitter.com/dramaria/status/795225550000373762
Tturedraider123;2016-11-06 11:05;9;6;"@Always_Trump @JeannePence That's the 30 Intelligence Departments that advise her on National Security. pic.twitter.com/B2RHbGKHw3";;@Always_Trump @JeannePence;;"795205532009177088";https://twitter.com/Tturedraider123/status/795205532009177088
Khanoisseur;2016-11-06 09:30;80;82;". @7kidchaos A. Trump doesn't own most buildings with his name B. Oh look, he took $500M from Saudis https:// twitter.com/khanoisseur/st atus/762001034353016833 … @Dejjur4361";;@7kidchaos @Dejjur4361;;"795181475637305344";https://twitter.com/Khanoisseur/status/795181475637305344
keninsf;2016-11-06 09:19;0;0;"Thin Line Splits Donald Trump’s Politics and Businesses http:// nyti.ms/2ebIhFG";;;;"795178679923970048";https://twitter.com/keninsf/status/795178679923970048
Khanoisseur;2016-11-06 08:40;40;49;"Trump genes so smart Ivanka plagiarizes shoe designs ( https:// twitter.com/khanoisseur/st atus/793440853016453120 … ), speeches… @KevinOnEarth @mehdirhasan https:// twitter.com/khanoisseur/st atus/793447864424730629 …";;@KevinOnEarth @mehdirhasan;;"795169034517954560";https://twitter.com/Khanoisseur/status/795169034517954560
abroshar;2016-11-06 08:02;0;0;"Oh my God. If someone actually tried an "assignation" with Donald Trump, it'd be the greatest day of his life https:// twitter.com/janvanhelmond4 3/status/795157856806957056 …";;;;"795159336267849728";https://twitter.com/abroshar/status/795159336267849728
Rich_893;2016-11-06 07:29;0;1;"@NormOrnstein @RareBeautyGems @zefirotorna -According to reports, the government has been paying about 80% of the upkeep of Trump's jet.";;@NormOrnstein @RareBeautyGems @zefirotorna;;"795151099871182848";https://twitter.com/Rich_893/status/795151099871182848
Poopoonagen;2016-11-06 07:09;0;0;"Dave Chappelle Defends Trump, Rips Clinton: ‘She’s Not Right and We All Know It’ http:// observer.com/2016/11/dave-c happelle-defends-trump-rips-clinton-shes-not-right-and-we-all-know-it/#.WB7I-SoLIqo.twitter …";;;#;"795146049014747136";https://twitter.com/Poopoonagen/status/795146049014747136
Rich_893;2016-11-06 07:01;0;1;"@Libby_Ri @MrJamesonNeat -That's a good role for Trump he can be the Orange Avenger! It would keep him out of politics.";;@Libby_Ri @MrJamesonNeat;;"795144081412268032";https://twitter.com/Rich_893/status/795144081412268032
SanFranciscoCP;2016-11-06 06:45;1;0;"ABC News News/WaPo tracking poll: Trump has slight lead, 48-45%, in aggregate of toss-up states: AZ, FL, GA, NC and… https:// twitter.com/i/web/status/7 95122273405562880 …";;;;"795140040426799105";https://twitter.com/SanFranciscoCP/status/795140040426799105
antvr8;2016-11-06 06:40;0;0;"@musclecar112 @samsteinhp @chrislhayes @realDonaldTrump Oh my god! That has nothing to do with Trump being clueless about world affairs!";;@musclecar112 @samsteinhp @chrislhayes @realDonaldTrump;;"795138774598438912";https://twitter.com/antvr8/status/795138774598438912
Rich_893;2016-11-06 06:39;0;2;"@BrianGoofingOff @Dcd_cynthia @kzmanus @smerconish -Wow! I didn't know Trump could read! Was it illustrated?";;@BrianGoofingOff @Dcd_cynthia @kzmanus @smerconish;;"795138622949236736";https://twitter.com/Rich_893/status/795138622949236736
Rich_893;2016-11-06 06:28;0;0;"@sacca @Khanoisseur @marcambinder @ABC -With all Trump's crowd probably armed to the teeth it could have easily turned into an OK Corral!";;@sacca @Khanoisseur @marcambinder @ABC;;"795135716091043841";https://twitter.com/Rich_893/status/795135716091043841
antvr8;2016-11-06 06:21;0;0;"@musclecar112 @samsteinhp @chrislhayes @realDonaldTrump Trump IS the most corrupt person there is! Talk to his past business partners.";;@musclecar112 @samsteinhp @chrislhayes @realDonaldTrump;;"795133962964402176";https://twitter.com/antvr8/status/795133962964402176
TheSeena;2016-11-06 06:00;0;5;"Literally being laughed at by my Canadian friend, because Trump. #helpusCanada";;;#helpusCanada;"795128609459474432";https://twitter.com/TheSeena/status/795128609459474432
venturewriter;2016-11-06 05:57;0;0;"“WSJ report: National Enquirer paid to kill Trump infidelity story” https:// twitter.com/i/moments/7949 52069992120321 …";;;;"795127999746052096";https://twitter.com/venturewriter/status/795127999746052096
SanFranciscoCP;2016-11-06 05:55;0;0;"NEW: Hillary Clinton's lead over Donald Trump climbs to 5 points in latest ABC News News/WaPo tracking poll… https:// twitter.com/i/web/status/7 95113941747830784 …";;;;"795127337129869313";https://twitter.com/SanFranciscoCP/status/795127337129869313
SanFranciscoCP;2016-11-06 05:55;0;0;"This is the man who was ejected from the rally, sparking panic. He was holding a sign: "Republicans Against Trump"… http:// toplocalnow.com/us/san-francis co …";;;;"795127329794068480";https://twitter.com/SanFranciscoCP/status/795127329794068480
venturewriter;2016-11-06 05:49;0;0;"I respectfully disagree. Our Revolution can push on Hilary but not on Trump. So the choice is clear. https:// twitter.com/nanexllc/statu s/794899173048983552 …";;;;"795126028578340864";https://twitter.com/venturewriter/status/795126028578340864
sfluvr007;2016-11-06 05:45;0;1;"Trump has hurt people all over the world. Watch "You've Been Trumped Too"! Free on Facebook! #ImWithHer #neverEVERtrump Share w/the world!";;;#ImWithHer #neverEVERtrump;"795124818324570112";https://twitter.com/sfluvr007/status/795124818324570112
